graph_type,param,V,E,vbs_size,sp_size,sp_ratio,sp_valid,sp_time,dg_size,dg_ratio,dg_valid,dg_time,sa_size,sa_ratio,sa_valid,sa_time,sp_lt_dg,sp_eq_dg,sp_gt_dg
BA,5.0,5000,24985,3031,3031,1.0,True,0.012963170069269836,3103,1.023754536456615,True,0.027359692030586302,3108,1.0254041570438799,True,0.9680581609718502,1,0,0
BA,2.0,10000,19997,4509,4509,1.0,True,0.009453646023757756,4644,1.029940119760479,True,0.07196096098050475,4644,1.029940119760479,True,0.7659229739801958,1,0,0
BA,2.0,10000,19997,4540,4540,1.0,True,0.009790699928998947,4640,1.0220264317180616,True,0.06777348800096661,4678,1.0303964757709252,True,0.7764336670516059,1,0,0
BA,2.0,10000,19997,4521,4521,1.0,True,0.022988466080278158,4616,1.0210130502101304,True,0.06600838899612427,4616,1.0210130502101304,True,0.667876293999143,1,0,0
BA,2.0,10000,19997,4501,4501,1.0,True,0.010004553012549877,4605,1.023105976449678,True,0.06640641402918845,4843,1.0759831148633636,True,0.6971237269463018,1,0,0
BA,2.0,10000,19997,4526,4526,1.0,True,0.008683505933731794,4618,1.0203269995581088,True,0.0667758050840348,4759,1.051480335837384,True,0.7162786750122905,1,0,0
BA,5.0,10000,49985,6029,6029,1.0,True,0.03327119804453105,6153,1.020567258251783,True,0.10422393097542226,6187,1.0262066677724333,True,2.452420069021173,1,0,0
BA,5.0,10000,49985,6017,6017,1.0,True,0.03856565593741834,6148,1.021771647000166,True,0.109720648964867,6153,1.0226026258933023,True,2.3422687099082395,1,0,0
BA,5.0,10000,49985,6031,6031,1.0,True,0.04230872995685786,6154,1.020394627756591,True,0.12122427602298558,6248,1.0359807660421156,True,2.843402653001249,1,0,0
BA,5.0,10000,49985,6016,6016,1.0,True,0.03276310197543353,6143,1.0211103723404256,True,0.10697176598478109,6206,1.0315824468085106,True,2.6503370539285243,1,0,0
BA,5.0,10000,49985,5998,5998,1.0,True,0.03520964190829545,6124,1.0210070023341113,True,0.10254592401906848,6147,1.0248416138712904,True,2.487199419992976,1,0,0
BA,2.0,20000,39997,8973,8973,1.0,True,0.022316802060231566,9172,1.0221776440432409,True,0.29398429207503796,9180,1.0230692076228687,True,2.1095334040001035,1,0,0
BA,2.0,20000,39997,9058,9058,1.0,True,0.02308373001869768,9262,1.0225215279311106,True,0.3072483369614929,9270,1.0234047251048797,True,2.032934352988377,1,0,0
BA,2.0,20000,39997,9068,9068,1.0,True,0.02389018703252077,9272,1.0224966916629907,True,0.2942129510920495,9303,1.0259153065725628,True,2.1492242730455473,1,0,0
BA,2.0,20000,39997,9021,9021,1.0,True,0.02583407994825393,9199,1.019731737057976,True,0.3015185589902103,9404,1.0424564904112625,True,2.0506442160112783,1,0,0
BA,2.0,20000,39997,9056,9056,1.0,True,0.023650632007047534,9268,1.0234098939929328,True,0.2909003789536655,9434,1.0417402826855124,True,1.9898390009766445,1,0,0
BA,5.0,20000,99985,12055,12055,1.0,True,0.07117433904204518,12315,1.0215678141849855,True,0.4319278009934351,12462,1.0337619245126504,True,4.7306434189667925,1,0,0
BA,5.0,20000,99985,12034,12034,1.0,True,0.07550310203805566,12276,1.0201096892138939,True,0.42378088494297117,12279,1.020358982881835,True,4.730781635036692,1,0,0
BA,5.0,20000,99985,12055,12055,1.0,True,0.07653472700621933,12322,1.0221484861053505,True,0.44486282498110086,12339,1.0235586893405226,True,4.699618596001528,1,0,0
BA,5.0,20000,99985,12072,12072,1.0,True,0.07452064391691238,12356,1.0235255135851558,True,0.43876379495486617,12505,1.0358681245858183,True,4.598064488032833,1,0,0
BA,5.0,20000,99985,12063,12063,1.0,True,0.06970816105604172,12338,1.022796982508497,True,0.4218037490500137,12393,1.0273563790101965,True,4.599525567959063,1,0,0
BA,2.0,50000,99997,22480,22480,1.0,True,0.08530818799044937,23004,1.0233096085409252,True,2.013598095974885,23193,1.031717081850534,True,8.021201367024332,1,0,0
BA,2.0,50000,99997,22525,22525,1.0,True,0.08393433992750943,23015,1.0217536071032187,True,1.9972739550285041,23045,1.023085460599334,True,8.144348653033376,1,0,0
BA,2.0,50000,99997,22511,22511,1.0,True,0.12262396502774209,23023,1.022744436053485,True,2.071625094045885,23052,1.0240326951268268,True,7.505651975050569,1,0,0
BA,2.0,50000,99997,22524,22524,1.0,True,0.09655898995697498,23050,1.0233528680518558,True,2.056372946011834,23081,1.0247291777659386,True,8.3223216899205,1,0,0
BA,2.0,50000,99997,22560,22560,1.0,True,0.09646121202968061,23027,1.0207003546099291,True,2.0594543440965936,23074,1.0227836879432624,True,7.8153639630181715,1,0,0
BA,5.0,50000,249985,30147,30147,1.0,True,0.2805841949302703,30786,1.0211961389192954,True,2.9167958500329405,30886,1.0245132185623778,True,17.931840986013412,1,0,0
